tweetid,timestamp,printname,screenname,verified,body,quotescreenname,quotetext,likes,retweets
1103009718954573824,11:09 AM - 5 Mar 2019,Alexandria Ocasio-Cortez,AOC,True,"You know, when I got to DC I was told that it’s considered “off-limits” to report on a member’s family, love life, etc.

Unsure why that consideration is suspended for me.

(Also for those who ask how I learned to handle pressure,try being the only daughter in a Latino household) https://twitter.com/thehill/status/1102682150099447813 …",thehill,Rep. Alexandria Ocasio-Cortez’s mom hopes she gets married soon  http://hill.cm/yOQOYBF   pic.twitter.com/KteAJcWZLp,113570,14979
1102021054363586561,5:41 PM - 2 Mar 2019,Alexandria Ocasio-Cortez,AOC,True,"I also fly  & use A/C

Living in the world as it is isn’t an argument against working towards a better future.

The Green New Deal is about putting a LOT of people to work in developing new technologies, building new infrastructure, and getting us to 100% renewable energy. https://twitter.com/nypost/status/1102005829698551809 …",nypost,Gas-guzzling car rides expose AOC's hypocrisy amid Green New Deal pledge  https://nyp.st/2ToXiYM   pic.twitter.com/ysOE9KnS69,194193,31693
1108845568158322688,2:39 PM - 21 Mar 2019,Alexandria Ocasio-Cortez,AOC,True,"This is a small-big thing, but shout out to TIME and Collier Schorr for getting my skin tone right in this photo.  It’s the little things that make a big difference, a lot of people see + appreciate it https://twitter.com/JamilSmith/status/1108796105330843648 …",JamilSmith,"“An entire generation, which is now becoming one of the largest electorates in America, fame of age and never saw American prosperity,” @AOC told @CharlotteAlter. “I have never seen that, or experienced that, really, in my adult life.” @TIME’s new cover.  http://mag.time.com/Ndrzczy ",14493,1607
1106392881856684032,8:13 PM - 14 Mar 2019,Alexandria Ocasio-Cortez,AOC,True,"This from @AyannaPressley was a powerful moment yesterday, too  https://twitter.com/RepPressley/status/1106190639555928065 …",RepPressley,"While my father was in the throes of his substance abuse disorder & in and out of the criminal justice system, our entire family was serving time with him. Incarceration is a shared sentence for families.  pic.twitter.com/DreoOnUIci",8535,1373
1101913633171206144,10:34 AM - 2 Mar 2019,Jon Favreau,jonfavs,True,"Trump saying that the Green New Deal will eliminate all cows, planes, cars, and buildings is why Democrats should never make policy based on what we think Republicans will say. They will never criticize the policy on the merits. They will always tell the craziest lies.",,,69806,13195
1112058464166137856,,Alexandria Ocasio-Cortez,AOC,False,"Fueling discord + scarcity is an effective tool for billionaires + the powerful, bc those are the most effective ways to turn working people against one another.

Solidarity, fighting for each other, & addressing injustice is our path to economic dignity. https://www.newsweek.com/alexandria-ocasio-cortez-says-shell-fight-trump-supporters-health-care-even-1380817 …",,,53090,11286
1106408088603713536,,Alexandria Ocasio-Cortez,AOC,False,"At 1st I thought of saying, “Imagine being told your house of faith isn’t safe anymore.”

But I couldn’t say “imagine.”

Because of Charleston.
Pittsburgh.
Sutherland Springs.

What good are your thoughts & prayers when they don’t even keep the pews safe? pic.twitter.com/2mSw0azDN8",,,84736,18220
1102637756889612291,10:31 AM - 4 Mar 2019,The Hill,thehill,True,".@AOC: ""While [President Trump's] talking collusion, collusion, collusion, I think, in Oversight, we should be talking about taxes, taxes, taxes, and his bank account, his bank account, his bank account. His financial statements, statements, statements."" pic.twitter.com/dzyr9qhZJN",,,27521,6044
1103777373814689792,2:00 PM - 7 Mar 2019,Alexandria Ocasio-Cortez,AOC,True,"These disturbing, authoritarian practices are what we’re funding with every dollar given to DHS & ICE with 0 accountability  https://twitter.com/mattdpearce/status/1103451387268984833 …",mattdpearce,"Wow. Big scoop by @nbcsandiego: The Trump administration created a ""secret database of activists, journalists, and social media influencers tied to the migrant caravan and in some cases, placed alerts on their passports.""  https://www.nbcsandiego.com/investigations/Source-Leaked-Documents-Show-the-US-Government-Tracking-Journalists-and-Advocates-Through-a-Secret-Database-506783231.html …",17832,5098
1102727554073538560,4:28 PM - 4 Mar 2019,Alexandria Ocasio-Cortez,AOC,True,Shout out to this very NY display of love in the neighborhood yesterday  https://twitter.com/nahmias/status/1102725123302400002 …,nahmias,"A super-fan constituent recognizes @AOC on the street while she's doing walk and talk interview with @errollouis on @ny1: She runs up for a hug. ""You are the f**king s**t!"" she says. (I think. It got bleeped). ""I'm so excited for your life!""",15292,1184
1111017602795618304,2:30 PM - 27 Mar 2019,Free Speech TV,freespeechtv,True,.@AOC makes it clear: The United States pays to address #ClimateChange now with the #GreenNewDeal or suffers far greater consequences later. #UnitedStates #Politics #Audiogram #ClimateCrisis pic.twitter.com/9L3yilGnrr,,,14857,3525
1105178796049735681,11:48 AM - 11 Mar 2019,Justice Democrats,justicedems,True,"Great discussion today on @AOC and @SenMarkey's Green New Deal:

@JoyAnnReid: ""Is there an answer to the loss of manufacturing jobs?""

@hmcghee: ""One of the most exciting answers in a long time is the Green New Deal. This is a perfect example of where we need industrial policy."" pic.twitter.com/cWmLMSSEZ2",,,2888,782
1108904467603357696,,Alexandria Ocasio-Cortez,AOC,False,But his WhatsApp https://twitter.com/CNN/status/1108899315219615744 …,CNN,"Dem. @RepRoKhanna calls reports Kushner was using WhatsApp to communicate with foreign officials “ironic"": Pres. Trump “ran his whole presidential campaign accusing Hillary Clinton of having a private server. ...…",127347,22510
1104069510238269440,9:20 AM - 8 Mar 2019,Alexandria Ocasio-Cortez,AOC,True,"I find it revealing when people mock where I came from, & say they’re going to “send me back to waitressing,” as if that is bad or shameful.

It’s as though they think being a member of Congress makes you intrinsically “better” than a waitress.

But our job is to serve, not rule.",,,499494,89415
1102980437503340546,9:13 AM - 5 Mar 2019,Hilary Rosen,hilaryr,True,"This too. For god's sake (yes, I believe in God). As an American jew I do not want to be associated with an effort to create a hierarchy of oppression. I want Jews to use this opportunity to build bridges. To take good people at their word and invite dialog not scorn. https://twitter.com/AOC/status/1102928794279702528 …",AOC,"“Calling out” is one of the measures of last resort, not 1st or 2nd resort.

We do it when repeated attempts to “call in” are disrespected or ignored. And I believe that Ilhan, in her statement a few weeks ago, has demonstrated a willing…",5978,562
1111715241845555201,12:42 PM - 29 Mar 2019,Ilhan Omar,IlhanMN,True,"To me, the hijab means power, liberation, beauty, and resistance. https://bit.ly/2THWgTJ ",,,70418,13656
1104104374371041282,11:39 AM - 8 Mar 2019,Alexandria Ocasio-Cortez,AOC,True,"This is like the “wrap it up” box but for climate delayers  

Shout out to Rep. @JoeCunninghamSC https://twitter.com/RedTRaccoon/status/1103844774149324805 …",RedTRaccoon,"A Trump official said seismic air gun tests don’t hurt whales. So Rep. Joe Cunningham blasted him with an air horn.

 https://www.washingtonpost.com/climate-environment/2019/03/08/trump-official-said-seismic-air-gun-tests-dont-hurt-whales-so-congressman-blasted-him-with-an-air-horn/ …  pic.twitter.com/GOuao8KxuG",65214,13645
1112349827474616321,6:43 AM - 31 Mar 2019,Eric Holthaus,EricHolthaus,True,"This is a must-read thread.

Bottom line: @AOC is right. Voters strongly support the Green New Deal in almost every district in America. We must reshape society for the 21st century, built on justice and climate resilience—but corporations want the status quo. This is our fight. https://twitter.com/leahstokes/status/1112088601469349888 …",leahstokes,"Last night on @chrislhayes show, @AOC said Congressional colleagues tell her they can't support #GreenNewDeal because their “district won't go for it.” She didn’t buy it and thought corporate $ was the problem. Turns out, there’s evidence she’s right. 1/  https://www.msnbc.com/all-in/watch/aoc-on-the-green-new-deal-an-extended-conversation-with-msnbc-s-chris-hayes-1468154947968 …",13693,3287
1109104885033848833,7:49 AM - 22 Mar 2019,Alexandria Ocasio-Cortez,AOC,True,"During orientation, @RepJayapal invited me to her place for some boxed soup. We talked about #MedicareForAll & navigating dbl standards.

She’s the real deal, a serious policy mind that cares abt people.

Pramila Jayapal isn’t just a leader for ‘women of color.’

She’s a leader. https://twitter.com/politico/status/1109089868334796800 …",politico,"Rep. Pramila Jayapal has become a progressive leader and mentor for women of color in the House
 https://politi.co/2Jxk7pq ",23941,3832
1101471462744047622,5:17 AM - 1 Mar 2019,Monita Rajpal,MonitaRajpal,True,"""“...climate delayers”: people who appear to accept that something needs to be done about climate change, but don’t seem to grasp its urgency. These people, (@AOC) pointed out, aren’t much better than people who deny climate change exists."" https://www.theguardian.com/environment/2019/mar/01/could-climate-delayer-become-the-political-epithet-of-our-times?CMP=share_btn_tw …",,,9682,1897
1109093408566583296,,Alexandria Ocasio-Cortez,AOC,False,"Mirror mirror, on the wall
Who’s the fairest bodega cat of them all?

Mirror: The calico on E Tremont  https://twitter.com/Bodegacats_/status/1109059290399154176 …",Bodegacats_,: @AOC  pic.twitter.com/qpj1crZ0kd,60258,4554
1105543889115586560,11:59 AM - 12 Mar 2019,Alexandria Ocasio-Cortez,AOC,True,"Each day that goes by where we turn our backs on Puerto Rico + Hurricane María, we are choosing to starve American people.

We are choosing to starve our own citizens, simply because of where *in our own country* they were born.

If we do it here, where could it happen next? https://twitter.com/JStein_WaPo/status/1104086113625399296 …",JStein_WaPo,"NEW: PUERTO RICAN OFFICIALS confirm they have started cutting food stamp benefits used by more than 1 million ppl

Congress has failed to act despite months of warnings…",37034,11603
1105529694395551745,11:03 AM - 12 Mar 2019,Alexandria Ocasio-Cortez,AOC,True,"The CEO of Wells Fargo said they chose to finance the unstable Dakota Access Pipeline over Standing Rock Sioux objections, because the bank determined it was “worth the risk.”

To whom?

#DAPL has leaked at least 5x. And we, the public, are left to pay for cleanup+destroyed land. https://twitter.com/alexisgoldstein/status/1105526384460468226 …",alexisgoldstein,".@RepAOC: ""So, hypothetically, if there was a leak from the Dakota Access Pipeline, why shouldn't #WellsFargo pay for the cleanup of it, since it paid for the construction of the pipeline itself?""

…",41605,14038
1101517356034129920,"8:19 AM - 1 Mar 2019
        
      from Cambridge, MA",Jamil Smith,JamilSmith,True,"I wrote about why @RashidaTlaib did the right thing when she confronted @MarkMeadows. She followed the @jsmooth995 principle: When you want to tell folks they did something racist, have the “what they did” conversation, not the “who they are” conversation. https://rol.st/2ElipkZ ",,,10519,2055
1104092874419982337,10:53 AM - 8 Mar 2019,Chris Van Hollen,ChrisVanHollen,True,"The Green New Deal has sparked a level of grassroots momentum that I believe will help us finally take real action, and I support the proposal as a first step toward tackling climate change.",,,14333,1534
1107696559528005636,10:33 AM - 18 Mar 2019,Soledad O'Brien,soledadobrien,True,"My mom died today. Joining my dad who passed away 40 days ago. She was a pretty remarkable lady. An immigrant from Cuba, she lived with the Oblate Sisters of Providence in Baltimore during college. Here (on the left) she is in Cuba in the 1930s. pic.twitter.com/oZNzEqa7ig",,,158903,11049
1107098385625030657,6:56 PM - 16 Mar 2019,Susan McPherson,susanmcp1,True,"Spot on: ""When we are fighting each other, it is coming from a scarcity mindset."" @AOC https://twitter.com/freedlander/status/1107014149819846657 …",freedlander,Specialized high school parents heckle @aoc at an education town hall and you won’t believe what happens next  pic.twitter.com/JiewjeJQWU,22427,3643
1107427862901125120,4:45 PM - 17 Mar 2019,Alexandria Ocasio-Cortez,AOC,True,"Gracias a todos lo que me ayudaron hoy a replantar mi zz! 
-
Shout out to everyone who helped me repot my zz today! They‘re doing great  https://twitter.com/mik1977/status/1107424797431091203 …",mik1977,#Live en Instagram: @AOC respondiendo preguntas mientras trasplanta una planta. De lo cotidiano a lo político. Su #compol tiene mucho gancho conectando desde el mundo audiovisual.  pic.twitter.com/xizglKLUi8,14373,1156
1110920684392337408,8:05 AM - 27 Mar 2019,Mimi Rocah,Mimirocah1,True,Women “flip out” but men have “passion” “determination” & “strength” - which is what I see here from @AOC. https://twitter.com/eorden/status/1110918022791872513 …,eorden,"""Flips out"" is an interesting choice of language here re @AOC

 https://nypost.com/2019/03/27/ocasio-cortez-flips-out-after-congressman-calls-green-new-deal-elitist/ …",34866,6622
1105196782911393792,1:00 PM - 11 Mar 2019,Alexandria Ocasio-Cortez,AOC,True,"Yup. Quite a few Republicans lauded now fought MLK Day and participated / were complicit in denouncing MLK as communist.

There is a long history of smearing progressives, particularly activists of color, as communist. It’s called Red-baiting & it’s the GOP’s main strategy today.  https://twitter.com/ParkerMolloy/status/1105185267701436416 …",,,31463,6838
