tweetid
859969105616551936
859969283220287489
859969703468564481
859973998486147072
859980537762414592
859980674165493760
859984505909649408
859992332275286017
860004370405969920
860016887958208512
860019276047986688
860029271879950337
860030168106229760
860030644759515140
860032547237003264
860033702906277890
860068723364900865
860068853686181888
860069207924518912
860069503450963969
860086267329040384
860121138965491712
860161010921078784
860237678985359361
860263260565766146
860270091354681344
860276013778878464
860283929240141825
860363916722937856
860580111388692480
861109200138641408
861111723721347072
861440555020058624
861440680937242624
862480309140541441
863386262413221888
863386388552667136
863386637761466368
863413215211864064
863511320049491968
863511568587268096
863516846603022336
864162070123642880
864316787629768704
871431863272824832
871434313484468224
872665171130331136
875112644713357313
875192263038574592
875192394936762368
876766553928327170
876892132878893056
877395385056202752
877397754888073216
877777533248217088
878505788439789568
878509521257156608
878985203976478720
879297315055566848
879297340758138880
879297807173042176
879297826978541568
879298063759757312
879839091055099905
879898026302521344
879901553888550914
885705477446815744
885717963738726400
885718537095884800
901317934131302401
908233517900992512
908287362148450305
909709345675403264
914631289512308737
915274940311580672
917088587924914176
917088879492046848
917089288902160384
925851425220984832
925893497466396672
928785157020041216
928785435341418496
929126088374067200
930825296923697152
947940976705732608
953149561127682048
953496157153501184
955899040247566336
957990521674313728
963049395691442177
963049621802176512
963050476836212736
963052425748893696
966281050883330054
982681418407952384
986362909495365634
998385568433221632
998404264207757312
998429663788699649
998431284832686082
998549171081707520
999058736315543552
999279398049271809
1011836030306037760
1011862942868897792
1017250925868605441
1054192490457300992
1061240868991107073
1061444077936246784
1080139080900448256
1099692749580726273
1099693158206787585
1099693248904343552
1099694303067156489
1099694945873653760
1099695155215589376
1099696611670794242
1099697913146548224
1099699866941509632
1099699892228886529
1099699919890403328
1099700517003882499
1099701370448429056
1099702542127247365
1099703676501843969
1099704516944031744
1099705914464980992
1099706023911157761
1099706529631092737
1099707155022790656
1099708788184096773
1099709018933743621
1099709366884810754
1099709936341258242
1099710225186205696
1099710463435132928
1099710534713331713
1099711265918853120
1099711536610897922
1099712815898669058
1099713273044320257
1099713733423554560
1099714365849096193
1099715709758832640
1099716135124168705
1099716889725480961
1099717253069766658
1099717647409672192
1099717841874571264
1099717930466471936
1099718423960080384
1099718576448200704
1099719965836566528
1099720833445097473
1099721070024654848
1099722469617868800
1099722478014877696
1099722520352251904
1099722915753414658
1099724180679868421
1099724369922789376
1099725235123904512
1099725480343724032
1099725650145959937
